tau_g,tau_b,epochs,retain_test,forget_test,forget_train,zrf,mia,actv_dist_retrain
0.1,0.1,1,72.43,0.0,0.12,0.7978,0.8358,1.0142
0.1,0.1,3,73.47,0.4,0.0,0.9491,0.8197,0.9168
0.1,0.1,5,73.61,0.9,0.02,0.9604,0.844,0.9101
0.1,0.3,1,71.84,0.5,0.5,0.9731,0.8338,0.904
0.1,0.3,3,73.08,0.3,0.04,0.9829,0.8322,0.9177
0.1,0.3,5,72.94,0.2,0.0,0.987,0.8353,0.9287
0.1,0.5,1,72.29,0.5,1.02,0.9797,0.8338,0.9119
0.1,0.5,3,73.1,0.6,0.14,0.9877,0.8304,0.9278
0.1,0.5,5,72.8,0.6,0.0,0.991,0.8442,0.935
0.1,0.7,1,72.56,1.1,1.68,0.9814,0.8329,0.9167
0.1,0.7,3,73.18,0.7,0.3,0.9887,0.8352,0.93
0.1,0.7,5,72.97,1.1,0.06,0.9914,0.8331,0.9347
0.1,1.0,1,72.93,2.4,3.26,0.9814,0.8472,0.918
0.1,1.0,3,73.23,1.4,0.72,0.989,0.8312,0.9309
0.1,1.0,5,73.02,1.3,0.12,0.9916,0.818,0.935
0.1,3.0,1,72.53,5.6,7.34,0.98,0.8336,0.921
0.1,3.0,3,73.18,3.1,2.56,0.9879,0.8333,0.9288
0.1,3.0,5,72.94,1.6,0.4,0.9915,0.8352,0.9349
0.1,5.0,1,72.79,5.7,7.84,0.9798,0.8369,0.9224
0.1,5.0,3,73.22,3.0,2.96,0.9878,0.8333,0.9287
0.1,5.0,5,73.1,1.8,0.54,0.9913,0.8356,0.934
0.1,7.0,1,72.72,5.8,7.86,0.9801,0.8419,0.9235
0.1,7.0,3,73.32,2.8,2.82,0.9879,0.8323,0.9289
0.1,7.0,5,73.27,1.7,0.58,0.9913,0.8333,0.9339
0.1,10.0,1,72.88,5.1,7.54,0.9805,0.8333,0.9245
0.1,10.0,3,73.33,3.0,2.66,0.9881,0.8151,0.9293
0.1,10.0,5,73.22,1.8,0.62,0.9913,0.8371,0.9337
0.3,0.1,1,72.73,0.0,0.04,0.7867,0.8332,1.0204
0.3,0.1,3,74.58,0.6,0.02,0.9415,0.8295,0.9204
0.3,0.1,5,75.18,0.7,0.02,0.9503,0.8359,0.9198
0.3,0.3,1,73.07,0.5,0.46,0.9704,0.8309,0.901
0.3,0.3,3,74.04,0.1,0.04,0.9799,0.8339,0.9173
0.3,0.3,5,74.54,0.2,0.0,0.9837,0.8334,0.926
0.3,0.5,1,73.2,0.5,0.78,0.9775,0.83,0.9098
0.3,0.5,3,74.26,0.3,0.12,0.9848,0.8327,0.9254
0.3,0.5,5,74.39,0.4,0.0,0.988,0.8302,0.9315
0.3,0.7,1,73.71,0.9,1.38,0.9787,0.8332,0.9136
0.3,0.7,3,74.17,0.8,0.3,0.9856,0.8348,0.9267
0.3,0.7,5,74.49,0.9,0.06,0.9884,0.8361,0.9312
0.3,1.0,1,73.84,1.9,2.9,0.9782,0.8335,0.9145
0.3,1.0,3,74.3,1.4,0.68,0.9856,0.8326,0.9269
0.3,1.0,5,74.77,1.3,0.12,0.9883,0.822,0.9313
0.3,3.0,1,73.46,4.7,6.44,0.9774,0.8381,0.918
0.3,3.0,3,74.44,2.0,1.94,0.9852,0.8429,0.9271
0.3,3.0,5,74.4,1.2,0.32,0.9887,0.8215,0.9327
0.3,5.0,1,73.4,4.7,7.08,0.9773,0.833,0.9196
0.3,5.0,3,74.44,2.4,2.22,0.9851,0.8394,0.9268
0.3,5.0,5,74.32,1.4,0.44,0.9885,0.8353,0.9322
0.3,7.0,1,73.64,5.0,7.1,0.9774,0.8349,0.9203
0.3,7.0,3,74.3,2.5,2.26,0.9852,0.8267,0.9268
0.3,7.0,5,74.31,1.3,0.46,0.9884,0.8367,0.932
0.3,10.0,1,73.71,5.0,7.24,0.9778,0.8312,0.9211
0.3,10.0,3,74.32,2.4,2.24,0.9854,0.8315,0.9271
0.3,10.0,5,74.39,1.4,0.46,0.9884,0.8354,0.9316
0.5,0.1,1,73.34,0.0,0.04,0.7789,0.8306,1.0218
0.5,0.1,3,75.26,0.5,0.06,0.9286,0.8332,0.9329
0.5,0.1,5,75.52,0.7,0.02,0.9377,0.6017,0.9319
0.5,0.3,1,74.16,0.3,0.52,0.9655,0.8335,0.8978
0.5,0.3,3,74.86,0.1,0.04,0.9754,0.8351,0.9149
0.5,0.3,5,75.31,0.5,0.0,0.9787,0.8266,0.9217
0.5,0.5,1,74.28,0.5,0.76,0.9731,0.8332,0.9074
0.5,0.5,3,74.94,0.2,0.12,0.98,0.8362,0.9221
0.5,0.5,5,75.18,0.9,0.0,0.9831,0.8338,0.9269
0.5,0.7,1,74.59,0.8,1.4,0.9737,0.8317,0.9102
0.5,0.7,3,74.86,0.6,0.34,0.9808,0.8345,0.923
0.5,0.7,5,75.36,1.0,0.06,0.9837,0.803,0.9272
0.5,1.0,1,74.81,1.7,2.9,0.9727,0.8314,0.9107
0.5,1.0,3,74.97,1.2,0.66,0.9806,0.8334,0.9236
0.5,1.0,5,75.47,1.6,0.12,0.9834,0.5389,0.9275
0.5,3.0,1,74.47,4.4,5.96,0.9724,0.8336,0.9133
0.5,3.0,3,75.02,1.4,1.5,0.9807,0.8302,0.9255
0.5,3.0,5,75.03,1.1,0.28,0.984,0.8336,0.9297
0.5,5.0,1,74.43,4.5,6.8,0.9724,0.837,0.9152
0.5,5.0,3,74.91,1.3,1.82,0.9806,0.8341,0.9251
0.5,5.0,5,74.9,1.2,0.54,0.9839,0.8329,0.9293
0.5,7.0,1,74.51,4.7,7.02,0.9725,0.8325,0.9158
0.5,7.0,3,74.93,1.3,1.96,0.9807,0.8333,0.9245
0.5,7.0,5,74.94,1.2,0.5,0.9837,0.8272,0.9289
0.5,10.0,1,74.58,4.4,7.0,0.9726,0.843,0.9164
0.5,10.0,3,74.97,1.4,1.94,0.9808,0.8328,0.9246
0.5,10.0,5,75.04,1.4,0.46,0.9836,0.7318,0.9289
0.7,0.1,1,74.1,0.0,0.04,0.7754,0.8327,1.0136
0.7,0.1,3,75.26,0.5,0.04,0.9206,0.8333,0.9487
0.7,0.1,5,75.47,1.0,0.0,0.9304,0.4923,0.9399
0.7,0.3,1,75.04,0.4,0.52,0.9597,0.8345,0.897
0.7,0.3,3,75.22,0.2,0.04,0.9698,0.8337,0.9117
0.7,0.3,5,75.44,0.7,0.0,0.9736,0.8198,0.9183
0.7,0.5,1,75.01,0.6,0.92,0.9673,0.8304,0.9056
0.7,0.5,3,75.21,0.3,0.18,0.9746,0.8335,0.9186
0.7,0.5,5,75.39,0.9,0.02,0.9778,0.6728,0.9232
0.7,0.7,1,75.28,0.8,1.44,0.9677,0.8411,0.9083
0.7,0.7,3,75.31,0.7,0.4,0.9752,0.7565,0.9192
0.7,0.7,5,75.54,1.2,0.04,0.9785,0.4977,0.924
0.7,1.0,1,75.41,1.6,3.2,0.9663,0.8246,0.9084
0.7,1.0,3,75.31,1.3,0.7,0.975,0.6773,0.9206
0.7,1.0,5,75.62,2.2,0.14,0.9782,0.4265,0.9248
0.7,3.0,1,75.21,4.2,5.86,0.9659,0.8297,0.9093
0.7,3.0,3,75.34,1.1,1.58,0.9755,0.8319,0.9234
0.7,3.0,5,75.32,1.5,0.26,0.979,0.7693,0.9269
0.7,5.0,1,75.18,4.4,6.5,0.966,0.8329,0.911
0.7,5.0,3,75.32,1.1,1.82,0.9757,0.8293,0.9236
0.7,5.0,5,75.22,1.5,0.44,0.9789,0.7422,0.9266
0.7,7.0,1,75.21,4.2,6.7,0.9659,0.8347,0.9116
0.7,7.0,3,75.3,1.1,1.96,0.9757,0.8092,0.9231
0.7,7.0,5,75.24,1.4,0.44,0.9788,0.6737,0.9264
0.7,10.0,1,75.29,4.1,6.62,0.9659,0.8346,0.9123
0.7,10.0,3,75.33,1.4,2.06,0.9757,0.7585,0.9228
0.7,10.0,5,75.36,1.6,0.44,0.9787,0.4386,0.926
1.0,0.1,1,74.89,0.0,0.06,0.7629,0.8337,1.0098
1.0,0.1,3,75.26,0.5,0.04,0.9104,0.8334,0.9568
1.0,0.1,5,75.62,1.2,0.0,0.9258,0.5215,0.9397
1.0,0.3,1,75.76,0.6,0.68,0.9497,0.8334,0.8972
1.0,0.3,3,75.44,0.3,0.08,0.9618,0.4856,0.9078
1.0,0.3,5,75.42,0.9,0.04,0.9666,0.4304,0.915
1.0,0.5,1,75.81,0.8,1.14,0.9579,0.8335,0.9043
1.0,0.5,3,75.34,0.2,0.22,0.9666,0.456,0.9139
1.0,0.5,5,75.41,1.7,0.04,0.9706,0.4155,0.9195
1.0,0.7,1,75.87,1.4,1.78,0.9584,0.7265,0.9062
1.0,0.7,3,75.48,1.0,0.54,0.9671,0.4268,0.915
1.0,0.7,5,75.44,2.2,0.02,0.9715,0.4186,0.9211
1.0,1.0,1,76.01,2.3,3.7,0.956,0.4309,0.9052
1.0,1.0,3,75.69,2.4,0.76,0.9668,0.4466,0.9171
1.0,1.0,5,75.5,2.9,0.1,0.9712,0.4512,0.922
1.0,3.0,1,76.07,3.9,5.44,0.9557,0.8281,0.9053
1.0,3.0,3,75.66,1.4,1.76,0.9675,0.4977,0.9198
1.0,3.0,5,75.31,2.2,0.32,0.9715,0.5027,0.9228
1.0,5.0,1,76.01,4.2,6.18,0.9555,0.8241,0.9068
1.0,5.0,3,75.76,1.7,2.04,0.9678,0.5438,0.9199
1.0,5.0,5,75.37,2.3,0.4,0.9713,0.5052,0.9224
1.0,7.0,1,75.98,3.7,6.22,0.9553,0.8329,0.9074
1.0,7.0,3,75.67,1.7,2.22,0.9676,0.5075,0.9194
1.0,7.0,5,75.51,2.4,0.42,0.971,0.4784,0.9219
1.0,10.0,1,75.99,3.8,6.12,0.9554,0.8325,0.9082
1.0,10.0,3,75.69,2.4,2.2,0.9675,0.4799,0.9187
1.0,10.0,5,75.43,2.6,0.44,0.9709,0.4597,0.9217
3.0,0.1,1,76.13,0.6,0.44,0.6357,0.8153,1.0775
3.0,0.1,3,75.1,4.9,1.58,0.7878,0.7029,0.9678
3.0,0.1,5,74.7,3.2,0.12,0.8241,0.5508,0.9814
3.0,0.3,1,75.87,1.6,2.16,0.9215,0.4293,0.9045
3.0,0.3,3,75.29,4.1,0.86,0.9048,0.3884,0.8894
3.0,0.3,5,74.81,3.7,0.0,0.9308,0.3415,0.9136
3.0,0.5,1,75.97,2.8,3.2,0.9299,0.4194,0.905
3.0,0.5,3,75.21,6.4,1.72,0.905,0.3627,0.8869
3.0,0.5,5,74.4,5.9,0.06,0.9347,0.3437,0.9173
3.0,0.7,1,76.07,4.5,5.2,0.9279,0.4178,0.9038
3.0,0.7,3,75.13,8.3,3.18,0.9027,0.3585,0.8886
3.0,0.7,5,74.2,7.4,0.06,0.9314,0.3422,0.9184
3.0,1.0,1,75.99,7.7,9.34,0.922,0.4084,0.9015
3.0,1.0,3,74.92,10.9,7.06,0.8959,0.3561,0.8901
3.0,1.0,5,74.16,8.5,0.08,0.9271,0.3403,0.9199
3.0,3.0,1,75.76,13.9,16.62,0.9086,0.4007,0.8943
3.0,3.0,3,75.13,13.5,10.82,0.9032,0.3681,0.8982
3.0,3.0,5,74.29,8.5,0.5,0.9287,0.3341,0.9208
3.0,5.0,1,75.82,15.2,18.18,0.9066,0.3972,0.8942
3.0,5.0,3,75.18,14.4,11.68,0.9029,0.3702,0.8992
3.0,5.0,5,74.21,8.9,0.72,0.9288,0.3358,0.9205
3.0,7.0,1,75.9,16.0,19.3,0.9065,0.3925,0.8944
3.0,7.0,3,75.17,15.8,12.88,0.9008,0.3702,0.8994
3.0,7.0,5,74.2,9.8,0.76,0.9278,0.3375,0.9202
3.0,10.0,1,75.78,16.2,19.32,0.9091,0.3914,0.8969
3.0,10.0,3,75.11,16.1,13.14,0.9005,0.3654,0.9008
3.0,10.0,5,74.18,10.4,0.72,0.9266,0.3322,0.9198
5.0,0.1,1,76.0,2.0,1.6,0.5825,0.7993,1.0585
5.0,0.1,3,75.24,12.2,8.62,0.7223,0.7032,0.971
5.0,0.1,5,73.92,4.6,0.42,0.77,0.644,0.9949
5.0,0.3,1,76.07,1.8,2.3,0.9035,0.4154,0.9078
5.0,0.3,3,75.29,5.1,1.9,0.8792,0.4143,0.8832
5.0,0.3,5,74.13,4.3,0.0,0.9147,0.3454,0.9115
5.0,0.5,1,76.11,2.8,3.84,0.9167,0.4158,0.9028
5.0,0.5,3,75.16,7.0,3.38,0.8818,0.4051,0.8813
5.0,0.5,5,73.96,6.3,0.06,0.9201,0.3388,0.9128
5.0,0.7,1,76.06,4.7,6.06,0.9171,0.4197,0.9022
5.0,0.7,3,75.38,9.7,4.32,0.8839,0.3969,0.8873
5.0,0.7,5,73.82,7.6,0.08,0.9182,0.3372,0.9181
5.0,1.0,1,76.23,7.6,9.6,0.913,0.4188,0.9004
5.0,1.0,3,75.37,11.8,7.3,0.8828,0.3985,0.8959
5.0,1.0,5,73.97,8.4,0.26,0.9153,0.3547,0.9222
5.0,3.0,1,75.8,13.9,16.16,0.9061,0.4072,0.9014
5.0,3.0,3,75.16,15.9,14.74,0.8763,0.3981,0.8952
5.0,3.0,5,73.97,9.9,0.66,0.9156,0.3525,0.9224
5.0,5.0,1,75.77,16.1,18.32,0.9028,0.4084,0.9006
5.0,5.0,3,75.13,17.0,15.58,0.8772,0.4008,0.8987
5.0,5.0,5,73.96,10.8,0.9,0.9136,0.3549,0.922
5.0,7.0,1,75.77,16.3,18.8,0.9035,0.4081,0.9013
5.0,7.0,3,75.07,17.2,15.38,0.8777,0.402,0.9029
5.0,7.0,5,73.92,11.6,1.16,0.9118,0.3549,0.9216
5.0,10.0,1,75.78,16.0,18.76,0.9047,0.4101,0.9018
5.0,10.0,3,75.01,17.5,15.04,0.8786,0.4049,0.9073
5.0,10.0,5,73.88,12.7,1.4,0.9097,0.3565,0.9219
7.0,0.1,1,76.04,1.6,1.48,0.5426,0.8071,1.0791
7.0,0.1,3,75.38,10.5,6.8,0.6968,0.6982,0.9709
7.0,0.1,5,73.82,4.2,0.2,0.7387,0.7484,1.0096
7.0,0.3,1,76.23,2.0,2.58,0.8981,0.4144,0.9102
7.0,0.3,3,75.47,5.5,2.24,0.874,0.4242,0.8848
7.0,0.3,5,74.18,4.1,0.0,0.915,0.3304,0.9129
7.0,0.5,1,76.19,2.7,3.9,0.9148,0.413,0.9044
7.0,0.5,3,75.3,6.6,2.48,0.8826,0.4059,0.8868
7.0,0.5,5,74.06,6.5,0.1,0.9145,0.3291,0.9133
7.0,0.7,1,76.23,4.2,5.88,0.9163,0.419,0.9033
7.0,0.7,3,75.34,9.4,4.2,0.8822,0.3999,0.8912
7.0,0.7,5,74.01,7.7,0.14,0.9143,0.3419,0.92
7.0,1.0,1,76.3,6.1,8.26,0.9147,0.4174,0.9028
7.0,1.0,3,75.42,11.9,6.46,0.881,0.3973,0.8989
7.0,1.0,5,74.07,9.5,0.34,0.9098,0.3542,0.9253
7.0,3.0,1,75.9,13.3,15.58,0.9077,0.4143,0.9033
7.0,3.0,3,75.22,14.8,12.52,0.8781,0.4132,0.9003
7.0,3.0,5,74.13,10.9,0.86,0.9105,0.3591,0.9239
7.0,5.0,1,75.92,15.2,17.78,0.9034,0.4136,0.9023
7.0,5.0,3,75.14,15.8,13.66,0.8781,0.4156,0.9035
7.0,5.0,5,74.12,11.7,1.36,0.9089,0.3605,0.9235
7.0,7.0,1,76.04,15.4,18.32,0.9038,0.4132,0.9027
7.0,7.0,3,75.06,15.9,13.14,0.8794,0.4134,0.9076
7.0,7.0,5,74.06,12.4,1.48,0.9076,0.3579,0.9239
7.0,10.0,1,76.09,15.8,18.22,0.9049,0.4134,0.9029
7.0,10.0,3,75.06,16.2,12.2,0.8811,0.4092,0.9123
7.0,10.0,5,74.0,12.8,1.54,0.9068,0.3616,0.9247
10.0,0.1,1,76.13,1.0,1.38,0.5441,0.8061,1.0759
10.0,0.1,3,75.49,11.7,8.18,0.7047,0.6576,0.9846
10.0,0.1,5,74.31,5.8,0.6,0.7384,0.7084,0.992
10.0,0.3,1,76.29,2.1,2.62,0.8965,0.4133,0.9103
10.0,0.3,3,75.5,5.1,2.08,0.8753,0.4161,0.887
10.0,0.3,5,74.23,4.1,0.0,0.9138,0.3298,0.9119
10.0,0.5,1,76.21,2.6,3.98,0.9137,0.4108,0.9047
10.0,0.5,3,75.27,6.7,2.7,0.8804,0.4079,0.8865
10.0,0.5,5,74.26,7.0,0.1,0.9115,0.332,0.9138
10.0,0.7,1,76.27,4.1,5.66,0.9166,0.4168,0.9038
10.0,0.7,3,75.24,9.1,4.24,0.8808,0.4013,0.8916
10.0,0.7,5,74.17,8.2,0.2,0.9106,0.3363,0.9204
10.0,1.0,1,76.4,5.8,7.86,0.9156,0.4138,0.9039
10.0,1.0,3,75.29,11.7,6.66,0.879,0.4017,0.8986
10.0,1.0,5,74.03,9.7,0.4,0.9072,0.3445,0.9261
10.0,3.0,1,76.1,12.7,16.16,0.907,0.4138,0.9031
10.0,3.0,3,75.27,14.8,12.1,0.878,0.4067,0.9005
10.0,3.0,5,74.23,10.7,0.88,0.9095,0.359,0.9243
10.0,5.0,1,76.06,14.8,17.92,0.9045,0.4122,0.9028
10.0,5.0,3,75.14,15.7,13.36,0.8772,0.4098,0.9035
10.0,5.0,5,74.13,11.8,1.28,0.9081,0.3612,0.9241
10.0,7.0,1,76.12,15.2,18.44,0.9044,0.4113,0.9031
10.0,7.0,3,75.08,15.9,12.82,0.8785,0.4103,0.9077
10.0,7.0,5,74.21,12.3,1.52,0.9062,0.3617,0.9246
10.0,10.0,1,76.07,15.0,18.2,0.9063,0.4117,0.9037
10.0,10.0,3,75.01,16.3,11.8,0.8798,0.4081,0.9118
10.0,10.0,5,74.13,12.9,1.5,0.9059,0.3615,0.9254
